occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;note;categroy
0fea37fa164726a0399bb9eb56c238d5bb7fa40f;8bf3c75ca5c8fc702be5ece44959f9a5e1a909bd;ed27f2e398f5b955e6d4bbc2a4c5b4c4;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::package::::version::::1.4.0 <-> deno::::core/Cargo.toml::::dependencies::::lazy_static::::1.4.0;cli/Cargo.toml;deno::::cli/Cargo.toml::::package::::version(location: 5);git show 0fea37fa164726a0399bb9eb56c238d5bb7fa40f -- cli/Cargo.toml;no;different options same version;obvious no conflict
10d8616f0f22409ed0cee6cdd4df01fb7f8d57dd;b3dc359fd7f343678ffcbf23729e744d2c5d5dec;7f2ab37cedd11130e60f5b70af53ca8b;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::dprint-plugin-markdown::::0.5.1 <-> deno::::op_crates/websocket/Cargo.toml::::package::::version::::0.5.1;op_crates/websocket/Cargo.toml;deno::::op_crates/websocket/Cargo.toml::::package::::version(location: 5);git show 10d8616f0f22409ed0cee6cdd4df01fb7f8d57dd -- op_crates/websocket/Cargo.toml;no;different options same version;obvious no conflict
149889bf56a602bc20086d86dcf41902196d5f52;f731a449856b9365e1d70f3ce6bd8f5897f0f514;63df650fd4e1aac94a63dca0ef17a28d;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::op_crates/webgpu/Cargo.toml::::dependencies::::wgpu-core::::version::::0.7.0 <-> deno::::runtime/Cargo.toml::::build-dependencies::::deno_websocket::::version::::0.7.0;runtime/Cargo.toml;deno::::runtime/Cargo.toml::::build-dependencies::::deno_websocket::::version(location: 65);git show 149889bf56a602bc20086d86dcf41902196d5f52 -- runtime/Cargo.toml;no;different options same version;obvious no conflict
186f7133f0236c0d2c26530acbe9439e5d4098f4;3c915caea8351e5ef26bdad57170f1ce184b4b9a;057ff77fa9fd3f367045e7f57c209391;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::swc_bundler::::0.21.0 <-> deno::::op_crates/websocket/Cargo.toml::::dependencies::::webpki-roots::::0.21.0;cli/Cargo.toml;deno::::cli/Cargo.toml::::dependencies::::swc_bundler(location: 71);git show 186f7133f0236c0d2c26530acbe9439e5d4098f4 -- cli/Cargo.toml;no;different options same version;obvious no conflict
1cbc9ba10e402c2af67ad9c3b88564c110312769;31d0325da426623805dcc100cf832cdec8771cf1;7ce94c28d91a135c25b66035420e24a8;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::deno_lint::::0.5.0 <-> deno::::runtime/Cargo.toml::::dependencies::::deno_file::::version::::0.5.0;runtime/Cargo.toml;deno::::runtime/Cargo.toml::::dependencies::::deno_file::::version(location: None);git show 1cbc9ba10e402c2af67ad9c3b88564c110312769 -- runtime/Cargo.toml;no;different options same version;obvious no conflict
3634be4269dd9d090bbcc20617555e8471e4d949;f7242f2505888014490bbca6c7e141675600c365;d65eabe9e0734d686b314005e60f263d;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::tokio::::version::::0.2.6 <-> deno::::tools/hyper_hello/Cargo.toml::::dependencies::::tokio::::version::::0.2.6;cli/Cargo.toml;deno::::cli/Cargo.toml::::dependencies::::tokio::::version(location: None);git show 3634be4269dd9d090bbcc20617555e8471e4d949 -- cli/Cargo.toml;yes;library;version number
463a5566ef2dcc6c7b74a35ffceb54a99e4b749e;5acf73e1997e5e22a08b904dbb3111f7bea01589;e6512fb9c56a7d49888dea55b1d779f8;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::deno_lint::::0.11.0 <-> deno::::runtime/Cargo.toml::::dependencies::::deno_url::::version::::0.11.0;runtime/Cargo.toml;deno::::runtime/Cargo.toml::::dependencies::::deno_url::::version(location: None);git show 463a5566ef2dcc6c7b74a35ffceb54a99e4b749e -- runtime/Cargo.toml;no;different options same version;obvious no conflict
463a5566ef2dcc6c7b74a35ffceb54a99e4b749e;5acf73e1997e5e22a08b904dbb3111f7bea01589;b11f7c1e5fdde37cb1941fe720a9f92f;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::dependencies::::swc_common::::version::::0.11.0 <-> deno::::extensions/url/Cargo.toml::::package::::version::::0.11.0;extensions/url/Cargo.toml;deno::::extensions/url/Cargo.toml::::package::::version(location: 5);git show 463a5566ef2dcc6c7b74a35ffceb54a99e4b749e -- extensions/url/Cargo.toml;no;different options same version;obvious no conflict
463a5566ef2dcc6c7b74a35ffceb54a99e4b749e;5acf73e1997e5e22a08b904dbb3111f7bea01589;a6e246b9ce4d359076d538b30954d23e;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::extensions/webgpu/Cargo.toml::::dependencies::::wgpu-core::::version::::0.9.0 <-> deno::::runtime/Cargo.toml::::dependencies::::deno_timers::::version::::0.9.0;runtime/Cargo.toml;deno::::runtime/Cargo.toml::::dependencies::::deno_timers::::version(location: None);git show 463a5566ef2dcc6c7b74a35ffceb54a99e4b749e -- runtime/Cargo.toml;no;different options same version;obvious no conflict
4a4f8f045326f77c52b7e2f39e846262ba1fee6c;442e2ee180b1d10a477afe103035ddd0c138a8e4;4e42886b54ed5baa34f472356ea3fabf;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::extensions/fetch/Cargo.toml::::dependencies::::data-url::::0.1.0 <-> deno::::runtime/Cargo.toml::::build-dependencies::::deno_http::::version::::0.1.0;runtime/Cargo.toml;deno::::runtime/Cargo.toml::::build-dependencies::::deno_http::::version(location: 52);git show 4a4f8f045326f77c52b7e2f39e846262ba1fee6c -- runtime/Cargo.toml;no;different options same version;obvious no conflict
4be1f074f2620ead2a414f61be517e3e94da5764;594bac4af6e2408ab836dea55af8b864ebab56eb;8f5c2e843d280b844b454901af4d7951;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;deno::::cli/Cargo.toml::::build-dependencies::::deno_console::::version::::0.10.0 <-> deno::::runtime/Cargo.toml::::build-dependencies::::deno_webidl::::version::::0.10.0;runtime/Cargo.toml;deno::::runtime/Cargo.toml::::build-dependencies::::deno_webidl::::version(location: 76);git show 4be1f074f2620ead2a414f61be517e3e94da5764 -- runtime/Cargo.toml;no;different options same version;obvious no conflict
